compound_id	target_gene	metapath	dwpc
CHEMBL3964729	EEF1A2	CbGpCC	0.00445237034836379
CHEMBL3911352	EEF1A2	CbGpCC	0.00445237034836379
CHEMBL3936187	EEF1A2	CbGpCC	0.00445237034836379
CHEMBL3891011	EEF1A2	CbGpCC	0.00445237034836379
CHEMBL3922414	EEF1A2	CbGpCC	0.00445237034836379
CHEMBL3983798	EEF1A2	CbGpCC	0.00445237034836379
CHEMBL3919811	EEF1A2	CbGpCC	0.00445237034836379
CHEMBL3923966	EEF1A2	CbGpCC	0.00445237034836379
CHEMBL3905315	EEF1A2	CbGpCC	0.00445237034836379
CHEMBL3967087	EEF1A2	CbGpCC	0.00445237034836379
CHEMBL4070633	EEF1A2	CbGpCC	0.00445237034836379
CHEMBL4087666	EEF1A2	CbGpCC	0.00445237034836379
CHEMBL4077078	EEF1A2	CbGpCC	0.00445237034836379
CHEMBL4099031	EEF1A2	CbGpCC	0.00445237034836379
CHEMBL4063330	EEF1A2	CbGpCC	0.00445237034836379
CHEMBL4069552	EEF1A2	CbGpCC	0.00445237034836379
CHEMBL4096048	EEF1A2	CbGpCC	0.00445237034836379
CHEMBL4070302	EEF1A2	CbGpCC	0.00445237034836379
CHEMBL4102297	EEF1A2	CbGpCC	0.00445237034836379
CHEMBL4282794	EEF1A2	CbGpCC	0.00445237034836379
CHEMBL2103840	EEF1A1	CbGpPW	0.027376617765787942
CHEMBL5653589	EEF1A1	CbGpPW	0.2285034495285699
CHEMBL3752910	EEF1A1	CbGpPW	0.18514038524121557
CHEMBL1232461	EEF1A1	CbGpPW	0.12694113301714516
CHEMBL1802814	EEF1A1	CbGpPW	0.05515041511788921
CHEMBL1802815	EEF1A1	CbGpPW	0.05515041511788921
CHEMBL1802973	EEF1A1	CbGpPW	0.05515041511788921
CHEMBL555689	EEF1A1	CbGpPW	0.027376617765787942
CHEMBL559594	EEF1A1	CbGpPW	0.027376617765787942
CHEMBL564799	EEF1A1	CbGpPW	0.027376617765787942
CHEMBL561125	EEF1A1	CbGpPW	0.027376617765787942
CHEMBL562794	EEF1A1	CbGpPW	0.027376617765787942
CHEMBL560663	EEF1A1	CbGpPW	0.027376617765787942
CHEMBL550249	EEF1A1	CbGpPW	0.027376617765787942
CHEMBL558033	EEF1A1	CbGpPW	0.027376617765787942
CHEMBL564316	EEF1A1	CbGpPW	0.027376617765787942
CHEMBL559039	EEF1A1	CbGpPW	0.027376617765787942
CHEMBL550251	EEF1A1	CbGpPW	0.027376617765787942
CHEMBL565134	EEF1A1	CbGpPW	0.027376617765787942
CHEMBL301982	EEF1A1	CbGpPW	0.027376617765787942
CHEMBL3609826	EEF1A1	CbGpPW	0.027376617765787942
CHEMBL3937369	EEF1A1	CbGpPW	0.027376617765787942
CHEMBL3975567	EEF1A1	CbGpPW	0.027376617765787942
CHEMBL3946252	EEF1A1	CbGpPW	0.027376617765787942
CHEMBL3947240	EEF1A1	CbGpPW	0.027376617765787942
CHEMBL3919459	EEF1A1	CbGpPW	0.027376617765787942
CHEMBL3955977	EEF1A1	CbGpPW	0.027376617765787942
CHEMBL3928361	EEF1A1	CbGpPW	0.027376617765787942
CHEMBL3900925	EEF1A1	CbGpPW	0.027376617765787942
CHEMBL3972065	EEF1A1	CbGpPW	0.027376617765787942
CHEMBL3953713	EEF1A1	CbGpPW	0.027376617765787942
CHEMBL3901185	EEF1A1	CbGpPW	0.027376617765787942
