compound_id	metapath	target_gene	dwpc	p_cell	pi	alpha	beta	mean	n_nonzero	fit_method	n_compound_slots	p_gamma_pooled
CHEMBL3752910	CbGpCC	EEF1A1	0.414877520685627	0.031796820317968204	0.9851090909090908	0.8751656767204193	16.499738940743274	0.0530411832492299	541810	method_of_moments	55	0.000744906905371351
CHEMBL3752910	CbGpCC	EEF1A2	0.0994012373610773	0.9988001199880012	0.9751363636363636	0.7005754190082204	20.108321607946625	0.0348400743069157	536325	method_of_moments	55	0.07455322036429918
CHEMBL3752910	CbGpMF	EEF1A1	0.2011944167795928	0.1217878212178782	0.9224072727272729	0.9813221502306764	31.77560289643139	0.0308828805995962	507324	method_of_moments	55	0.0014705383606691677
CHEMBL3752910	CbGpMF	EEF1A2	0.1234965497075717	0.46895310468953105	0.8603745454545455	0.8658076247869546	32.196321205759084	0.0268915078605963	473206	method_of_moments	55	0.011883138247630784
CHEMBL3752910	CbGpPW	EEF1A1	0.1851403852412155	0.8385161483851615	0.8257890909090909	0.5180778940616431	15.179530828061422	0.0341300333936478	454184	method_of_moments	55	0.015532043642448765
CHEMBL3752910	CbGpPW	EEF1A2	0.1244398143196506	0.043995600439956005	0.2592654545454545	2.094388222319429	60.492471258382125	0.03462229561384	142596	method_of_moments	55	0.001396189148435696
CHEMBL3752910	CsG	EEF1A2	0.0	1.0	0.0383631713554987	8.817495285799321	42.67347134096459	0.20662709193135	150000	method_of_moments	391	
CHEMBL3752910	CsGiG	EEF1A1	0.0	1.0	0.979743989769821	2.451950772460252	63.621750742855504	0.0385395048679259	3830799	method_of_moments	391	
CHEMBL3752910	CsGiG	EEF1A2	0.0	1.0	0.6729762148337596	4.84108388779578	156.31248418345882	0.0309705517961953	2631337	method_of_moments	391	
CHEMBL3752910	CsGpPW	EEF1A1	0.0	1.0	0.9301434782608696	3.065154474757922	123.97225942116904	0.0247245189292285	3636861	method_of_moments	391	
CHEMBL3752910	CsGpPW	EEF1A2	0.0	1.0	0.5700662404092072	3.587008639025775	291.4066975100728	0.0123092868821307	2228959	method_of_moments	391	
CHEMBL1232461	CbG	EEF1A1	0.0	1.0	0.0545454545454545	6.457770173863931	15.683099547332228	0.4117661916494325	30000	method_of_moments	55	
CHEMBL1232461	CbG	EEF1A2	0.0	1.0	0.0727272727272727	7.302813239021995	18.52675716596649	0.3941765508988916	40000	method_of_moments	55	
CHEMBL1232461	CbGiG	EEF1A1	0.1623336035200737	0.15878412158784122	0.9337509090909092	1.4278339770511874	21.9151369057448	0.0651528659479602	513563	method_of_moments	55	0.05719360185754241
CHEMBL1232461	CbGiG	EEF1A2	0.1185101781473291	0.3321667833216678	0.2615763636363636	2.1632635218135485	20.152211551593272	0.1073462094358828	143867	method_of_moments	55	0.09257879113298746
CHEMBL1232461	CbGpBP	EEF1A1	0.1244725628193971	0.011198880111988802	0.7713072727272727	0.81553903524029	39.34619358988424	0.020727266371453	424219	method_of_moments	55	0.0036275111586697223
CHEMBL1232461	CbGpBP	EEF1A2	0.1079684070333723	0.0201979802019798	0.6467709090909091	0.810101374630969	40.178230995676685	0.0201626939403613	355724	method_of_moments	55	0.0053486386699247886
CHEMBL1232461	CbGpCC	EEF1A1	0.1496481916222119	0.23617638236176383	0.9851090909090908	0.8751656767204193	16.499738940743274	0.0530411832492299	541810	method_of_moments	55	0.06584091332547325
CHEMBL1232461	CbGpCC	EEF1A2	0.0713557136540314	0.5874412558744125	0.9751363636363636	0.7005754190082204	20.108321607946625	0.0348400743069157	536325	method_of_moments	55	0.14061487039238826
CHEMBL1232461	CbGpMF	EEF1A1	0.0774806832932284	0.292970702929707	0.9224072727272729	0.9813221502306764	31.77560289643139	0.0308828805995962	507324	method_of_moments	55	0.07604799225305549
CHEMBL1232461	CbGpMF	EEF1A2	0.1174630589027789	0.0527947205279472	0.8603745454545455	0.8658076247869546	32.196321205759084	0.0268915078605963	473206	method_of_moments	55	0.01451117575719028
CHEMBL1232461	CbGpPW	EEF1A1	0.1269411330171451	0.12298770122987701	0.8257890909090909	0.5180778940616431	15.179530828061422	0.0341300333936478	454184	method_of_moments	55	0.0431995269173545
CHEMBL1232461	CbGpPW	EEF1A2	0.2014238313290769	0.00019998000199980003	0.2592654545454545	2.094388222319429	60.492471258382125	0.03462229561384	142596	method_of_moments	55	2.1349482297393326e-05
CHEMBL1232461	CsG	EEF1A2	0.0	1.0	0.0383631713554987	8.817495285799321	42.67347134096459	0.20662709193135	150000	method_of_moments	391	
CHEMBL1232461	CsGiG	EEF1A1	0.0	1.0	0.979743989769821	2.451950772460252	63.621750742855504	0.0385395048679259	3830799	method_of_moments	391	
CHEMBL1232461	CsGiG	EEF1A2	0.0	1.0	0.6729762148337596	4.84108388779578	156.31248418345882	0.0309705517961953	2631337	method_of_moments	391	
CHEMBL1232461	CsGpPW	EEF1A1	0.0	1.0	0.9301434782608696	3.065154474757922	123.97225942116904	0.0247245189292285	3636861	method_of_moments	391	
CHEMBL1232461	CsGpPW	EEF1A2	0.0	1.0	0.5700662404092072	3.587008639025775	291.4066975100728	0.0123092868821307	2228959	method_of_moments	391	
CHEMBL1802814	CbG	EEF1A1	0.4883593419305869	0.1302869713028697	0.0545454545454545	6.457770173863931	15.683099547332228	0.4117661916494325	30000	method_of_moments	55	0.015399775856677926
CHEMBL1802814	CbG	EEF1A2	0.435275281648062	0.21007899210078992	0.0727272727272727	7.302813239021995	18.52675716596649	0.3941765508988916	40000	method_of_moments	55	0.025188099973624645
