compound_id	best_metapath	best_target_gene	dwpc_at_best	p_cell_min	p_minp	q_bh	p_bonferroni	p_westfall_young	n_permutations	significant_bh	significant_bonferroni	significant_wy
CHEMBL1329446	CsGiG	EEF1A2	0.0367210942289852	0.04329567043295671	0.12068793120687932	0.2820827965050385	1.0	1.0	10000	False	False	False
CHEMBL1324188	CsGiG	EEF1A2	0.0367210942289852	0.04739526047395261	0.12108789121087891	0.2820827965050385	1.0	1.0	10000	False	False	False
CHEMBL1383149	CsGiG	EEF1A2	0.0367210942289852	0.044795520447955206	0.12108789121087891	0.2820827965050385	1.0	1.0	10000	False	False	False
CHEMBL1200929	CsGiG	EEF1A2	0.0367210942289852	0.0443955604439556	0.12108789121087891	0.2820827965050385	1.0	1.0	10000	False	False	False
PUBCHEM:447049	CsGiG	EEF1A2	0.0367210942289852	0.043695630436956304	0.1212878712128787	0.2820827965050385	1.0	1.0	10000	False	False	False
CHEMBL1351908	CsGiG	EEF1A2	0.0367210942289852	0.04459554044595541	0.12138786121387861	0.2820827965050385	1.0	1.0	10000	False	False	False
CHEMBL1310435	CsGiG	EEF1A2	0.0367210942289852	0.046795320467953205	0.12138786121387861	0.2820827965050385	1.0	1.0	10000	False	False	False
CHEMBL1973921	CsGiG	EEF1A2	0.0367210942289852	0.0451954804519548	0.12148785121487851	0.2820827965050385	1.0	1.0	10000	False	False	False
CHEMBL3190653	CsGiG	EEF1A2	0.0367210942289852	0.044195580441955803	0.12168783121687832	0.2820827965050385	1.0	1.0	10000	False	False	False
CHEMBL1378232	CsGiG	EEF1A2	0.0367210942289852	0.043995600439956005	0.12188781121887811	0.2820827965050385	1.0	1.0	10000	False	False	False
CHEMBL3192121	CsGiG	EEF1A2	0.0367210942289852	0.044795520447955206	0.12198780121987801	0.2820827965050385	1.0	1.0	10000	False	False	False
CHEMBL1537098	CsGiG	EEF1A2	0.0367210942289852	0.045495450454954504	0.12198780121987801	0.2820827965050385	1.0	1.0	10000	False	False	False
PUBCHEM:444493	CsGiG	EEF1A2	0.0367210942289852	0.044995500449955005	0.12198780121987801	0.2820827965050385	1.0	1.0	10000	False	False	False
CHEMBL1500447	CsGiG	EEF1A2	0.0367210942289852	0.045495450454954504	0.12208779122087791	0.2820827965050385	1.0	1.0	10000	False	False	False
CHEMBL1301042	CsGiG	EEF1A2	0.0367210942289852	0.0453954604539546	0.12218778122187782	0.2820827965050385	1.0	1.0	10000	False	False	False
CHEMBL1352897	CsGiG	EEF1A2	0.0367210942289852	0.043995600439956005	0.12218778122187782	0.2820827965050385	1.0	1.0	10000	False	False	False
