parent,pubchem_cid,title,canonical_smiles,tanimoto,mw,n_vendors,example_vendors,is_exact_or_stereoisomer,source
CHEMBL1802815,53362250,"N-[(2S)-1-amino-1-oxo-3-phenylpropan-2-yl]-4-[3-[(1R)-1-cyclohexylethyl]-2-(4-methoxyanilino)-8-oxopyrano[3,2-f]benzimidazol-6-yl]benzamide",C[C@H](C1CCCCC1)N2C3=C(C=C4C(=C3)OC(=CC4=O)C5=CC=C(C=C5)C(=O)N[C@@H](CC6=CC=CC=C6)C(=O)N)N=C2NC7=CC=C(C=C7)OC,0.608,683.809,0,,False,PubChem 2D similarity
CHEMBL1802815,53362901,"N-[(2S)-1-amino-4-methyl-1-oxopentan-2-yl]-4-[3-[(1R)-1-cyclohexylethyl]-2-(4-methoxyanilino)-8-oxopyrano[3,2-f]benzimidazol-6-yl]benzamide",C[C@H](C1CCCCC1)N2C3=C(C=C4C(=C3)OC(=CC4=O)C5=CC=C(C=C5)C(=O)N[C@@H](CC(C)C)C(=O)N)N=C2NC6=CC=C(C=C6)OC,0.515,649.7920000000001,0,,False,PubChem 2D similarity
CHEMBL1802815,53362304,"4-[3-[(1R)-1-cyclohexylethyl]-2-(4-methoxyanilino)-8-oxopyrano[3,2-f]benzimidazol-6-yl]benzamide",C[C@H](C1CCCCC1)N2C3=C(C=C4C(=C3)OC(=CC4=O)C5=CC=C(C=C5)C(=O)N)N=C2NC6=CC=C(C=C6)OC,0.42,536.6320000000002,0,,False,PubChem 2D similarity
CHEMBL1802815,5274476,N-isopropyl-2-[4-(4-oxochromen-2-yl)phenyl]-3H-benzimidazole-5-carboxamidine,CC(C)N=C(C1=CC2=C(C=C1)N=C(N2)C3=CC=C(C=C3)C4=CC(=O)C5=CC=CC=C5O4)N,0.347,422.4880000000002,0,,False,PubChem 2D similarity
CHEMBL1802815,129309585,"US10654814, Example 142",CN1C2=C(C=C(C=C2)C(=O)NO)N=C1NC3=CC(=CC=C3)OCC4=CC=CC=C4,0.276,388.42700000000013,0,,False,PubChem 2D similarity
CHEMBL1802815,137658648,"N,N-diethyl-1-(3-methylbutyl)-2-(4-phenoxyanilino)benzimidazole-5-carboxamide",CCN(CC)C(=O)C1=CC2=C(C=C1)N(C(=N2)NC3=CC=C(C=C3)OC4=CC=CC=C4)CCC(C)C,0.275,470.61700000000025,0,,False,PubChem 2D similarity
CHEMBL1802815,155561761,"4-[(2S)-2-(1,6-dimethylbenzimidazol-2-yl)-2-[2,5-dioxo-3-(4-phenoxyphenyl)imidazolidin-1-yl]ethyl]-N-propan-2-ylbenzamide",CC1=CC2=C(C=C1)N=C(N2C)[C@H](CC3=CC=C(C=C3)C(=O)NC(C)C)N4C(=O)CN(C4=O)C5=CC=C(C=C5)OC6=CC=CC=C6,0.268,601.7070000000002,0,,False,PubChem 2D similarity
CHEMBL1802815,137652040,"2-[(4-ethoxyphenyl)methylamino]-N,N-diethyl-1-(3-methylbutyl)benzimidazole-5-carboxamide",CCN(CC)C(=O)C1=CC2=C(C=C1)N(C(=N2)NCC3=CC=C(C=C3)OCC)CCC(C)C,0.265,436.6000000000003,0,,False,PubChem 2D similarity
CHEMBL1802815,46879467,1-(Cyclohexylmethyl)-2-[(2-methoxyphenyl)methylamino]benzimidazole-5-carboxamide,COC1=CC=CC=C1CNC2=NC3=C(N2CC4CCCCC4)C=CC(=C3)C(=O)N,0.262,392.50300000000016,0,,False,PubChem 2D similarity
CHEMBL1802815,44432949,"N,N-diisopentyl-2-(4-phenoxyphenylamino)-3-(3-(piperidin-1-yl)propyl)-3H-benzo[d]imidazole-5-carboxamide",CC(C)CCN(CCC(C)C)C(=O)C1=CC2=C(C=C1)N=C(N2CCCN3CCCCC3)NC4=CC=C(C=C4)OC5=CC=CC=C5,0.25,609.8590000000005,0,,False,PubChem 2D similarity
CHEMBL1802815,25026048,1-[(2S)-1-amino-5-(diaminomethylideneamino)-1-oxopentan-2-yl]-N-butyl-2-(3-phenoxyphenyl)benzimidazole-5-carboxamide,CCCCNC(=O)C1=CC2=C(C=C1)N(C(=N2)C3=CC(=CC=C3)OC4=CC=CC=C4)[C@@H](CCCN=C(N)N)C(=O)N,0.246,541.6560000000002,0,,False,PubChem 2D similarity
CHEMBL1802973,53361218,N-[(2S)-1-amino-4-methyl-1-oxopentan-2-yl]-4-[7-[[(1R)-1-cyclohexylethyl]amino]-6-nitro-4-oxochromen-2-yl]benzamide,C[C@H](C1CCCCC1)NC2=C(C=C3C(=C2)OC(=CC3=O)C4=CC=C(C=C4)C(=O)N[C@@H](CC(C)C)C(=O)N)[N+](=O)[O-],1.0,548.6400000000003,0,,True,PubChem 2D similarity
CHEMBL1802973,53362418,N-[(2R)-1-amino-4-methyl-1-oxopentan-2-yl]-4-[7-[[(1R)-1-cyclohexylethyl]amino]-6-nitro-4-oxochromen-2-yl]benzamide,C[C@H](C1CCCCC1)NC2=C(C=C3C(=C2)OC(=CC3=O)C4=CC=C(C=C4)C(=O)N[C@H](CC(C)C)C(=O)N)[N+](=O)[O-],1.0,548.6400000000003,0,,True,PubChem 2D similarity
