compound_id	canonical_smiles	inchikey	pref_name	max_phase	alogp	mw
CHEMBL1230609	COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OCCCN1CCOCC1	CXQHYVUVSFXTMY-UHFFFAOYSA-N	FORETINIB	2.0	5.77	632.66
CHEMBL1873475	C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1	XYFPWWZEPKGCCK-GOSISDBHSA-N	IBRUTINIB	4.0	4.22	440.51
CHEMBL3218576	COc1c(OCCCN2CCOCC2)ccc2c1N=C(NC(=O)c1cnc(N)nc1)N1CCN=C21	PZBCKZWLPGJMAO-UHFFFAOYSA-N	COPANLISIB	4.0	0.66	480.53
CHEMBL2103875	CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1	LIRYPHYGHXZJBZ-UHFFFAOYSA-N	TRAMETINIB	4.0	3.94	615.40
CHEMBL2028663	CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1	BFSMGDJOXZAERB-UHFFFAOYSA-N	DABRAFENIB	4.0	5.36	519.57
CHEMBL3186534	N#CC1(c2ccc(NC(=O)c3cccnc3NCc3ccncc3)cc2)CCCC1	WPEWQEMJFLWMLV-UHFFFAOYSA-N	RIVOCERANIB	3.0	4.68	397.48
CHEMBL2165191	Cc1cc([C@@H](C)Nc2ccccc2C(=O)O)c2nc(N3CCOCC3)cc(=O)n2c1	IRTDIKMSKMREGO-OAHLLOKOSA-N	AZD-6482	2.0	2.71	408.46
CHEMBL3301607	O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1	RIJLVEAXPNLDTC-UHFFFAOYSA-N	FILGOTINIB	4.0	1.98	425.51
CHEMBL4289017	CC(=O)NCC(=O)N1[C@@H]2CC[C@H]1c1ccc(Nc3ncc(C(F)(F)F)c(NC4CCC4)n3)cc12	RYYNGWLOYLRZLK-RBUKOAKNSA-N	PF-03814735	1.0	4.06	474.49
CHEMBL1983268	CN1CCN(c2ccc(C(=O)Nc3n[nH]c4ccc(Cc5cc(F)cc(F)c5)cc34)c(NC3CCOCC3)c2)CC1	HAYYBYPASCDWEQ-UHFFFAOYSA-N	ENTRECTINIB	4.0	5.03	560.65
CHEMBL3545083	COCCN1CCN(Cc2ccc(-c3n[nH]c4c3C(=O)c3c(NC(=O)NN5CCOCC5)cccc3-4)cc2)CC1	XLSYZSRXVVCHLS-UHFFFAOYSA-N	RGB-286638	1.0	2.42	545.64
