compound_id	target_chembl_id	protein_id	standard_type	standard_relation	standard_value	standard_units	pchembl_value	assay_type	assay_chembl_id	target_organism	data_validity_comment	activity_comment
CHEMBL1944698	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL3544966	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL3991929	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL482968	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL2138625	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL564829	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL405130	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL2396661	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL223360	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL488436	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL1645462	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL460702	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL496102	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL3545110	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL2030402	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL558752	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL3544964	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL1079175	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL2041933	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL1879463	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL3991931	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL1088751	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL3301612	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL502835	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL3039517	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL2180604	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL124660	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL1236107	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL400402	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL2017974	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL483321	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL2216870	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL1336	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL3907479	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL1976040	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL3544983	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL3699142	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL3137331	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL574737	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL1614766	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL1952329	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL1908360	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL101253	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL2219422	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL3120215	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL3991935	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL2103882	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL206834	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL3426621	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL2403108	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL1234354	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
CHEMBL217092	CHEMBL1741190	RAN	Kd	>	30000.0	nM		B	CHEMBL3991866	Homo sapiens		Inactive
