protein_id	uniprot_accession	pathway_id	pathway_name
RAN	P62826	R-HSA-203927	MicroRNA (miRNA) biogenesis
RAN	P62826	R-HSA-5578749	Transcriptional regulation by small RNAs
RAN	P62826	R-HSA-6784531	tRNA processing in the nucleus
RAN	P62826	R-HSA-9615933	Postmitotic nuclear pore complex (NPC) reformation
ETF1	P62495	R-HSA-72764	Eukaryotic Translation Termination
ETF1	P62495	R-HSA-9010553	Regulation of expression of SLITs and ROBOs
ETF1	P62495	R-HSA-9629569	Protein hydroxylation
ETF1	P62495	R-HSA-975956	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)
ETF1	P62495	R-HSA-975957	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)
HSF1	Q00613	R-HSA-3371453	Regulation of HSF1-mediated heat shock response
HSF1	Q00613	R-HSA-3371511	HSF1 activation
HSF1	Q00613	R-HSA-3371568	Attenuation phase
HSF1	Q00613	R-HSA-3371571	HSF1-dependent transactivation
HSF1	Q00613	R-HSA-9646399	Aggrephagy
HSF1	Q00613	R-HSA-9841251	Mitochondrial unfolded protein response (UPRmt)
PAPSS2	O95340	R-HSA-174362	Transport and metabolism of PAPS
PAPSS2	O95340	R-HSA-2408550	Metabolism of ingested H2SeO4 and H2SeO3 into H2Se
PAPSS2	O95340	R-HSA-3560796	Defective PAPSS2 causes SEMD-PA
PAPSS1	O43252	R-HSA-174362	Transport and metabolism of PAPS
PAPSS1	O43252	R-HSA-2408550	Metabolism of ingested H2SeO4 and H2SeO3 into H2Se
PAPSS1	O43252	R-HSA-6802952	Signaling by BRAF and RAF1 fusions
ST6GALNAC1	Q9NSC7	R-HSA-4085001	Sialic acid metabolism
