stitch_chemical	stitch_name	molecular_weight	stitch_smiles	compound_id	pubchem_cid
CIDs00440758	adenosine 5'-phosphoselenate	474.179422	C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)O[Se](=O)(=O)O)O)O	PUBCHEM:440758	440758
CIDs00441401	linezolid	337.346103	CC(=O)NCC1CN(C(=O)O1)C2=CC(=C(C=C2)N3CCOCC3)F	CHEMBL126	441401
CIDs00444080	Maval	131.17292	CC(C)C(C(=O)O)NC	PUBCHEM:444080	444080
CIDs00444104	glutathione sulfonic acid	355.32168	C(CC(=O)NC(CS(=O)(=O)O)C(=O)NCC(=O)O)C(C(=O)O)N	PUBCHEM:444104	444104
CIDs00444493	acetyl-CoA	809.570806	CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O	PUBCHEM:444493	444493
CIDs00444718	L-3-phenyllactic acid	166.1739	C1=CC=C(C=C1)CC(C(=O)O)O	PUBCHEM:444718	444718
CIDs00445154	resveratrol	228.24328	C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O	CHEMBL165	445154
CIDs00446207	D-phenylalanyl	149.18974	C1=CC=C(C=C1)CC(C=O)N	PUBCHEM:446207	446207
CIDs00446782	AC1L9K3C	551.489462	CN(C)C1=NC=NC2=C1N=CN2C3C(C(C(O3)COP(=O)(O)O)NC(=O)C(CC4=CC=C(C=C4)OC)N)O	PUBCHEM:446782	446782
CIDs00448209	CMP-sialic acid	614.451102	CC(=O)NC1C(CC(OC1C(C(CO)O)O)(C(=O)O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=NC3=O)N)O)O)O	PUBCHEM:448209	448209
CIDs00449459	4-hydroxytamoxifen	387.51396	CCC(=C(C1=CC=C(C=C1)O)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3	CHEMBL489	449459
