compound_id	pref_name	max_phase	canonical_smiles	pubchem_cid	inchikey	alogp	mw	n_vendors	example_vendors	structure_source
CHEMBL4070302			CCC(=O)NCCOc1ccc2cc(C(=O)Nc3cc(NC(=O)c4ccc5c(c4)OCCO5)ccc3C)ccc2n1	117996322	CTUDBAMAFBXVJK-UHFFFAOYSA-N	4.72	554.6	0		ChEMBL
CHEMBL4102297			Cc1ccc(NC(=O)c2ccc3c(c2)OCCO3)cc1NC(=O)c1ccc2nc(OCCN)ccc2c1	117996702	YPGVWGQVQWWWMA-UHFFFAOYSA-N	4.16	498.54	2	Enamine; Enamine	ChEMBL
CHEMBL4282794			CSCC[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(=O)O)NC(=O)CCNC(=O)CCNC(=O)c1ccc(C(=O)O)c(C2c3ccc(O)cc3OC3=CC(=O)C=CC32)c1)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(C)C)C(N)=O	145981106	NRUDKWCWETWQQK-KURBARKFSA-N		2318.42	0		ChEMBL
CHEMBL278315	GELDANAMYCIN	2.0	COC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O	5288382	QTQAWLPCGQOSGP-KSRBKZBZSA-N	2.41	560.64	47	A1 BioChem Labs; AChemBlock; AKos Consulting & Solutions; Acmec Biochemical; Activate Scientific	ChEMBL
CHEMBL170365	acetaldehyde		CC=O					0		ChEMBL
CHEMBL1356	benzoic acid		C1=CC=C(C=C1)C(=O)[O-]					0		ChEMBL
CHEMBL2146121	calcium ions		[Ca+2]					0		ChEMBL
CHEMBL1261	citric acid		C(C(=O)O)C(CC(=O)O)(C(=O)O)O					0		ChEMBL
CHEMBL1200547	chloride		[Cl-]					0		ChEMBL
CHEMBL2105994	salicylate		C1=CC=C(C(=C1)C(=O)O)O					0		ChEMBL
CHEMBL1231071	arsenite		[O-][As]([O-])[O-]					0		ChEMBL
CHEMBL136061	phosphonoacetic acid (PAA		C(C(=O)O)P(=O)(O)O					0		ChEMBL
CHEMBL1046	EACA		C(CCC(=O)O)CCN					0		ChEMBL
CHEMBL692	glycerol		C(C(CO)O)O					0		ChEMBL
PUBCHEM:783	hydrogen		[HH]	783				114	A2B Chem; A2B Chem; AA BLOCKS; AA BLOCKS; AKos Consulting & Solutions	
CHEMBL359504	malonate		C(C(=O)O)C(=O)O					0		ChEMBL
CHEMBL2146125	magnesium		[Mg+2]					0		ChEMBL
PUBCHEM:923	sodium		[Na+]	923				15	Alfa Chemistry; Ambinter; BOC Sciences; BenchChem; BenchChem	
CHEMBL1140	vitamin B		C1=CC(=CN=C1)C(=O)N					0		ChEMBL
CHEMBL1098659	distilled water		[OH-]					0		ChEMBL
CHEMBL1187	phosphate		OP(=O)(O)[O-]					0		ChEMBL
CHEMBL1160571	pyrophosphate		OP(=O)(O)OP(=O)(O)O					0		ChEMBL
CHEMBL2097002	selenate		O[Se](=O)(=O)O					0		ChEMBL
CHEMBL1200456	sulphate		[O-]S(=O)(=O)[O-]					0		ChEMBL
CHEMBL254951	2-mercaptoethanol		C(CS)O					0		ChEMBL
CHEMBL25	aspirin		CC(=O)OC1=CC=CC=C1C(=O)O					0		ChEMBL
PUBCHEM:2514	cadmium		CC(=O)O.CC(=O)O.[Cd]	2514				10	AKos Consulting & Solutions; Alfa Chemistry; CATO Research Chemicals Inc.; Molport; Molport	
CHEMBL388560	diazinon		CCOP(=S)(OCC)OC1=NC(=NC(=C1)C)C(C)C					0		ChEMBL
CHEMBL1241153	ibuprofen		CC(C)CC1=CC=C(C=C1)C(C)C(=O)O					0		ChEMBL
CHEMBL1200864	indomethacin		CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O					0		ChEMBL
CHEMBL1234613	diphosphopyridine nucleotide		C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C4N=CN=C5N)O)O)O)O)C(=O)N					0		ChEMBL
CHEMBL14249	MgATP		C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O					0		ChEMBL
CHEMBL14830	MgADP		C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O					0		ChEMBL
CHEMBL1627073	uridylate		C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)O)O)O					0		ChEMBL
CHEMBL1315633	adenosine monophosphate		C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)O)O)O					0		ChEMBL
CHEMBL1627075	poly-C		C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)O)O)O					0		ChEMBL
CHEMBL301523	phenylalanine		C1=CC=C(C=C1)CC(C(=O)O)N					0		ChEMBL
CHEMBL43068	L-valine		CC(C)C(C(=O)O)N					0		ChEMBL
CHEMBL54976	tryptophan		C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N					0		ChEMBL
CHEMBL1200391	Tris-HCl		C(C(CO)(CO)N)O					0		ChEMBL
CHEMBL348107	acrylamide		C=CC(=O)N					0		ChEMBL
CHEMBL1627076	guanylate		C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)O)O)O)NC(=NC2=O)N					0		ChEMBL
PUBCHEM:6830	guanosine triphosphate		C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)NC(=NC2=O)N	6830				0		
CHEMBL119596	EGEE		CCOCCO					0		ChEMBL
CHEMBL1235226	diethylene glycol		C(COCCO)O					0		ChEMBL
CHEMBL1235254	tetraethylene glycol		C(COCCOCCOCCO)O					0		ChEMBL
CHEMBL1275977	neomycin		C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)N)OC3C(C(C(O3)CO)OC4C(C(C(C(O4)CN)O)O)N)O)O)N					0		ChEMBL
CHEMBL384759	guanosine diphosphate		C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O)NC(=NC2=O)N					0		ChEMBL
PUBCHEM:10214	3'-phosphoadenosine 5'-phosphosulfate		C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OS(=O)(=O)O)OP(=O)(O)O)O	10214				19	AKos Consulting & Solutions; AiFChem, an XtalPi Company; Angene Chemical; BLD Pharm; BOC Sciences	
CHEMBL1255782	emetine		CCC1CN2CCC3=CC(=C(C=C3C2CC1CC4C5=CC(=C(C=C5CCN4)OC)OC)OC)OC					0		ChEMBL
CHEMBL572546	phosphosulfate		C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OS(=O)(=O)O)O)O					0		ChEMBL
CHEMBL1230866	silver nanoparticles		[C-]#N.[C-]#N.[K+].[Ag+]					0		ChEMBL
CHEMBL1206239	Poly(dA		C1C(C(OC1N2C=NC3=C2N=CN=C3N)COP(=O)(O)O)O					0		ChEMBL
CHEMBL1234326	3-hydroxypicolinic acid		C1=CC(=C(N=C1)C(=O)O)O					0		ChEMBL
PUBCHEM:14888	arsenic trioxide		[O-2].[O-2].[O-2].[As+3].[As+3]	14888				15	Ambinter; BenchChem; CATO Research Chemicals Inc.; Chem-Impex; Chem-Impex	
CHEMBL1167	spectinomycin		CC1CC(=O)C2(C(O1)OC3C(C(C(C(C3O2)NC)O)NC)O)O					0		ChEMBL
CHEMBL3184791	streptomycin		CC1C(C(C(O1)OC2C(C(C(C(C2O)O)N=C(N)N)O)N=C(N)N)OC3C(C(C(C(O3)CO)O)O)NC)(C=O)O.CC1C(C(C(O1)OC2C(C(C(C(C2O)O)N=C(N)N)O)N=C(N)N)OC3C(C(C(C(O3)CO)O)O)NC)(C=O)O.OS(=O)(=O)O.OS(=O)(=O)O.OS(=O)(=O)O					0		ChEMBL
CHEMBL2105054	phosphinate		OP=O					0		ChEMBL
PUBCHEM:23931	mercury		[Hg]	23931				99	10X CHEM; A2B Chem; AA BLOCKS; AKos Consulting & Solutions; Acmec Biochemical	
PUBCHEM:23977	cobalt		[Co].[Co]	23977				0		
CHEMBL1411246	Zn(II		[Zn]					0		ChEMBL
CHEMBL1200929	ZnSO4		[O-]S(=O)(=O)[O-].[Zn+2]					0		ChEMBL
CHEMBL177367	silver nitrate		[N+](=O)([O-])[O-].[Ag+]					0		ChEMBL
CHEMBL1255943	glutamic acid		C(CC(=O)O)C(C(=O)O)N					0		ChEMBL
CHEMBL1230989	AMP-PNP		C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(NP(=O)(O)O)O)O)O					0		ChEMBL
CHEMBL1233085	Gpp(NH)p		C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(NP(=O)(O)O)O)O)O)NC(=NC2=O)N					0		ChEMBL
CHEMBL1229766	pentaethylene glycol		C(COCCOCCOCCOCCO)O					0		ChEMBL
PUBCHEM:64730	glucans		C(C(C(C(C(C=O)O)O)O)O)O.C(C(=O)O)C(CC(=O)O)(C(=O)O)O	64730				11	Aladdin Scientific; Alfa Chemistry; Alfa Chemistry; BOC Sciences; BOC Sciences	
CHEMBL1372	GSSG		C(CC(=O)NC(CSSCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)C(=O)NCC(=O)O)C(C(=O)O)N					0		ChEMBL
CHEMBL1214186	sinefungin		C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)CC(CCC(C(=O)O)N)N)O)O					0		ChEMBL
CHEMBL1171272	girolline		C1=C(NC(=N1)N)C(C(CN)Cl)O					0		ChEMBL
CHEMBL284377	phospho-serine		C(C(C(=O)O)N)OP(=O)(O)O					0		ChEMBL
PUBCHEM:72332	NSC 141633		CC(C)(CCCC(CC(=O)OC)(C(=O)OC1C2C3=CC4=C(C=C3CCN5C2(CCC5)C=C1OC)OCO4)O)O	72332				3	BenchChem; Clinivex; EvitaChem	
CHEMBL215645	rivastigmine		CCN(C)C(=O)OC1=CC=CC(=C1)C(C)N(C)C.C(C(C(=O)O)O)(C(=O)O)O					0		ChEMBL
CHEMBL1234276	2-(N-morpholino)ethanesulfonic acid		C1COCCN1CCS(=O)(=O)O					0		ChEMBL
PUBCHEM:82127	potassium hydride		[H-].[K+]	82127				16	10X CHEM; A2B Chem; AA BLOCKS; AKos Consulting & Solutions; Ambinter	
PUBCHEM:83606	strontium hydride		[H-].[H-].[Sr+2]	83606				10	Accel Scientific; Angene Chemical; BenchChem; CATO Research Chemicals Inc.; CymitQuimica	
PUBCHEM:84265	GalNAc alpha		CC(=O)NC1C(C(C(OC1O)CO)O)O	84265				38	001Chemical; 10X CHEM; A2B Chem; AA BLOCKS; AChemBlock	
CHEMBL1213327	coenzyme A		CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O					0		ChEMBL
CHEMBL171281	D-Cys		C(C(C(=O)O)N)S					0		ChEMBL
PUBCHEM:93082	GMPCPP		C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(CP(=O)(O)O)O)O)O)NC(=NC2=O)N	93082				0		
CHEMBL103247	L-Dap		C(C(C(=O)O)N)N					0		ChEMBL
CHEMBL345292	S-hexylglutathione		CCCCCCSCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)[NH3+]					0		ChEMBL
PUBCHEM:97538	S-(p-nitrobenzyl)glutathione		C1=CC(=CC=C1CSCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)[N+](=O)[O-]	97538				19	001Chemical; 10X CHEM; A2B Chem; AA BLOCKS; AbaChemScene	
CHEMBL378605	C-phenylglycine		C1=CC=C(C=C1)C(C(=O)O)N					0		ChEMBL
CHEMBL113178	selenomethionine		C[Se]CCC(C(=O)O)N					0		ChEMBL
CHEMBL330546	PLLA		CC(C(=O)O)O					0		ChEMBL
CHEMBL1236315	tartrate		C(C(C(=O)[O-])O)(C(=O)[O-])O					0		ChEMBL
PUBCHEM:123991	dehydroalanine		C=C(C(=O)O)N	123991				15	A2B Chem; AA BLOCKS; AKos Consulting & Solutions; Accela ChemBio Inc.; BLD Pharm	
CHEMBL1543	reduced glutathione		C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N					0		ChEMBL
CHEMBL574817	3'-phosphoadenosine 5'-phosphate		C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)O)OP(=O)(O)O)O					0		ChEMBL
CHEMBL1229561	poly(2'-O-methyladenylic acid		COC1C(C(OC1N2C=NC3=C2N=CN=C3N)COP(=O)(O)O)O					0		ChEMBL
CHEMBL2206196	paromomycin		C1C(C(C(C(C1N)OC2C(C(C(C(O2)CO)O)O)N)OC3C(C(C(O3)CO)OC4C(C(C(C(O4)CN)O)O)N)O)O)N.[O-]S(=O)(=O)[O-]					0		ChEMBL
PUBCHEM:165838	7-methylguanosine 5'-monophosphate		CN1CN(C2=C1C(=O)N=C(N2)N)C3C(C(C(O3)COP(=O)(O)O)O)O	165838				0		
PUBCHEM:168161	2'-O-methylguanosine 5'-monophosphate		COC1C(C(OC1N2C=NC3=C2NC(=NC3=O)N)COP(=O)(O)O)O	168161				0		
CHEMBL857	anti-biotin		C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2					0		ChEMBL
PUBCHEM:188966	dADP		C1C(C(OC1N2C=NC3=C2N=CN=C3N)COP(=O)(O)OP(=O)(O)O)O	188966				10	AiFChem, an XtalPi Company; Alfa Chemistry; BLD Pharm; BOC Sciences; CATO Research Chemicals Inc.	
PUBCHEM:189854	AC1L4PEN		C1=C(C(=O)NC(=O)N1C2C(C(C(O2)COP(=O)(O)O)O)O)OCC(=O)O	189854				5	BLD Pharm; J&H Chemical Co.,ltd; NewCan Biotech; RR Scientific; Starshine Chemical	
CHEMBL72388	5-methylcytidylic acid		CC1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)O)O)O					0		ChEMBL
CHEMBL197110	gamma-hydroxyglutamic acid		C(C(C(=O)O)N)C(C(=O)O)O					0		ChEMBL
